status,file,brand_id,display_name,legal_name,cui,anaf_name,detail,source_url
NAME_MISMATCH,payment_destination_registry_ro_government_admin_2026_06_19.json,primaria_sector_5,Primăria Sectorului 5 București,Sectorul 5 al Municipiului București,38320436,DIRECTIA DE IMPOZITE SI TAXE LOCALE A SECTORULUI 5,Registry 'Sectorul 5 al Municipiului București' vs ANAF 'DIRECTIA DE IMPOZITE SI TAXE LOCALE A SECTORULUI 5',https://ditl5.ro/wp-content/uploads/2020/10/CONTURI-IBAN-PFPJ.pdf
NAME_MISMATCH,payment_destination_registry_ro_government_admin_2026_06_19.json,primaria_sector_6,Primăria Sectorului 6 București,Sectorul 6 al Municipiului București,12380248,DIRECŢIA GENERALA DE IMPOZITE ŞI TAXE LOCALE SECTOR 6,Registry 'Sectorul 6 al Municipiului București' vs ANAF 'DIRECŢIA GENERALA DE IMPOZITE ŞI TAXE LOCALE SECTOR 6',https://taxelocale6.ro/
NAME_MISMATCH,payment_destination_registry_ro_rompetrol_2026_06_19.json,rompetrol_downstream,Rompetrol Downstream S.R.L.,Rompetrol Downstream S.R.L.,1860712,ROMPETROL RAFINARE SA,Registry 'Rompetrol Downstream S.R.L.' vs ANAF 'ROMPETROL RAFINARE SA',https://www.rompetrol.ro/en/personal/rompetrol-go/rompetrol-go-credit
NAME_MISMATCH,payment_destination_registry_ro_wave2_local_taxes_2026_06_26.json,primaria_ploiesti,Serviciul Public Finanțe Locale Ploiești,Serviciul Public Finanțe Locale Ploiești,8609468,MINISTERUL FINANTELOR - ACTIUNI GENERALE,Registry 'Serviciul Public Finanțe Locale Ploiești' vs ANAF 'MINISTERUL FINANTELOR - ACTIUNI GENERALE',
NAME_MISMATCH,payment_destination_registry_ro_wave2_local_taxes_2026_06_26.json,primaria_constanta,Serviciul Public de Impozite și Taxe Constanța,Primăria Municipiului Constanța,4785631,MUNICIPIUL CONSTANŢA,Registry 'Primăria Municipiului Constanța' vs ANAF 'MUNICIPIUL CONSTANŢA',
NAME_MISMATCH,payment_destination_registry_ro_wave4_research_wave2_2026_06_26.json,primaria_orasului_mizil,Primăria Orașului Mizil,Orașul Mizil,15562570,ORAS MIZIL,Registry 'Orașul Mizil' vs ANAF 'ORAS MIZIL',
NAME_MISMATCH,payment_destination_registry_ro_wave4_research_wave2_2026_06_26.json,topgarage,TopGarage,SC TopGarage S.R.L.,35612150,TOP GARAGE SRL,Registry 'SC TopGarage S.R.L.' vs ANAF 'TOP GARAGE SRL',
NAME_MISMATCH,payment_destination_registry_ro_wave4_research_wave2_2026_06_26.json,xmobila,XMobila,SC Mobistore17 S.R.L.,37246145,MOBISTORE 17 SRL,Registry 'SC Mobistore17 S.R.L.' vs ANAF 'MOBISTORE 17 SRL',
NAME_MISMATCH,payment_destination_registry_ro_wave4_research_wave2_2026_06_26.json,voltatec,Voltatec,Voltatec S.R.L.,19176807,VOLTA TEC SRL,Registry 'Voltatec S.R.L.' vs ANAF 'VOLTA TEC SRL',
NAME_MISMATCH,payment_destination_registry_ro_wave4_research_wave2_2026_06_26.json,mobigor,Mobigor,Mobigor S.R.L.,29531752,SORGOR ALEX S.R.L.,Registry 'Mobigor S.R.L.' vs ANAF 'SORGOR ALEX S.R.L.',
NAME_MISMATCH,payment_destination_registry_ro_wave5_p0_daily_life_2026_06_26.json,ritter_itp,Ritter ITP,RITTER AUTOMOTIVE S.R.L.,32259772,RITTER SERVICES S.R.L.,Registry 'RITTER AUTOMOTIVE S.R.L.' vs ANAF 'RITTER SERVICES S.R.L.',
NAME_MISMATCH,payment_destination_registry_ro_wave6_verified_exact_2026_06_26.json,polix_security,Polix Security,POLIX SECURITY CONSULTANTA S.R.L.,35092538,CORPUL EXPERŢILOR ÎN SECURITATE PRIVATĂ POLIX SRL,Registry 'POLIX SECURITY CONSULTANTA S.R.L.' vs ANAF 'CORPUL EXPERŢILOR ÎN SECURITATE PRIVATĂ POLIX SRL',
NAME_MISMATCH,payment_destination_registry_ro_wave6_verified_exact_2026_06_26.json,sophievet,SophieVet,SOPHIEVET PET S.R.L.,44816230,SOPHIE VET PET S.R.L.,Registry 'SOPHIEVET PET S.R.L.' vs ANAF 'SOPHIE VET PET S.R.L.',
NAME_MISMATCH,payment_destination_registry_ro_wave6_verified_exact_2026_06_26.json,coravet,Coravet,CORAVET CONSULT S.R.L.,21378484,CORA VETCONSULT SRL,Registry 'CORAVET CONSULT S.R.L.' vs ANAF 'CORA VETCONSULT SRL',
NAME_MISMATCH,payment_destination_registry_ro_wave6_verified_exact_2026_06_26.json,cabinet_veterinar_cu_sufletul,Cabinet Veterinar Cu Sufletul,CU SUFLETUL VET S.R.L.,43544049,"CABINET MEDICAL VETERINAR ""CU SUFLETUL"" S.R.L.","Registry 'CU SUFLETUL VET S.R.L.' vs ANAF 'CABINET MEDICAL VETERINAR ""CU SUFLETUL"" S.R.L.'",
NAME_MISMATCH,payment_destination_registry_ro_wave6_verified_exact_2026_06_26.json,doctorul_animalelor,Doctorul Animalelor,DOCTORUL ANIMALELOR S.R.L.,2167162,SELLA IMPEX COM SRL,Registry 'DOCTORUL ANIMALELOR S.R.L.' vs ANAF 'SELLA IMPEX COM SRL',
NAME_MISMATCH,payment_destination_registry_ro_wave6_verified_exact_2026_06_26.json,dumonde_11251,Dumonde PFA,DUMITRU MONDEN PFA,26811251,MOLDOVAN TEODOR-ALIN ÎNTREPRINDERE INDIVIDUALĂ,Registry 'DUMITRU MONDEN PFA' vs ANAF 'MOLDOVAN TEODOR-ALIN ÎNTREPRINDERE INDIVIDUALĂ',
NAME_MISMATCH,payment_destination_registry_ro_wave6_verified_exact_2026_06_26.json,a2t,A2T,A2T S.R.L.,29104875,ATU TECH SRL,Registry 'A2T S.R.L.' vs ANAF 'ATU TECH SRL',
NAME_MISMATCH,payment_destination_registry_ro_wave6_verified_exact_2026_06_26.json,euroinstal,EuroInstal,EURO INSTAL S.R.L.,11152462,POLTERGEIST SRL,Registry 'EURO INSTAL S.R.L.' vs ANAF 'POLTERGEIST SRL',
NAME_MISMATCH,payment_destination_registry_ro_wave6_verified_exact_2026_06_26.json,mobilex_grup,Mobilex Grup,S.C. MOBILEXGRUP S.R.L.,16123182,MOBILEX GRUP SRL,Registry 'S.C. MOBILEXGRUP S.R.L.' vs ANAF 'MOBILEX GRUP SRL',
